policy_id,avg_total_cost,intervention_cost,success_rate,policy
0,11.9861,0.0,0.5982,"{'S0': 'no_intervention', 'S1': 'no_intervention', 'S2': 'no_intervention', 'S3': 'no_intervention', 'S4': 'no_intervention', 'S5': 'no_intervention'}"
1,7.7413,0.5,0.7056,"{'S0': 'no_intervention', 'S1': 'no_intervention', 'S2': 'no_intervention', 'S3': 'no_intervention', 'S4': 'intervene', 'S5': 'no_intervention'}"
2,6.7598,1.0,0.7813,"{'S0': 'no_intervention', 'S1': 'no_intervention', 'S2': 'no_intervention', 'S3': 'intervene', 'S4': 'no_intervention', 'S5': 'no_intervention'}"
3,4.45675,1.5,0.8397,"{'S0': 'no_intervention', 'S1': 'no_intervention', 'S2': 'no_intervention', 'S3': 'intervene', 'S4': 'intervene', 'S5': 'no_intervention'}"
4,9.985019999999075,0.2,0.6532,"{'S0': 'no_intervention', 'S1': 'no_intervention', 'S2': 'intervene', 'S3': 'no_intervention', 'S4': 'no_intervention', 'S5': 'no_intervention'}"
5,6.383589999999492,0.7,0.7416,"{'S0': 'no_intervention', 'S1': 'no_intervention', 'S2': 'intervene', 'S3': 'no_intervention', 'S4': 'intervene', 'S5': 'no_intervention'}"
6,5.438939999999643,1.2,0.8115,"{'S0': 'no_intervention', 'S1': 'no_intervention', 'S2': 'intervene', 'S3': 'intervene', 'S4': 'no_intervention', 'S5': 'no_intervention'}"
7,3.76415,0.5,0.8873,"{'S0': 'no_intervention', 'S1': 'intervene', 'S2': 'no_intervention', 'S3': 'no_intervention', 'S4': 'no_intervention', 'S5': 'no_intervention'}"
8,2.6206,1.0,0.9156,"{'S0': 'no_intervention', 'S1': 'intervene', 'S2': 'no_intervention', 'S3': 'no_intervention', 'S4': 'intervene', 'S5': 'no_intervention'}"
9,2.24625,1.5,0.9401,"{'S0': 'no_intervention', 'S1': 'intervene', 'S2': 'no_intervention', 'S3': 'intervene', 'S4': 'no_intervention', 'S5': 'no_intervention'}"
10,3.3233700000000748,0.7,0.8986,"{'S0': 'no_intervention', 'S1': 'intervene', 'S2': 'intervene', 'S3': 'no_intervention', 'S4': 'no_intervention', 'S5': 'no_intervention'}"
11,2.1814900000000574,1.2,0.928,"{'S0': 'no_intervention', 'S1': 'intervene', 'S2': 'intervene', 'S3': 'no_intervention', 'S4': 'intervene', 'S5': 'no_intervention'}"
12,1.7320900000001447,0.1,0.9458,"{'S0': 'intervene', 'S1': 'no_intervention', 'S2': 'no_intervention', 'S3': 'no_intervention', 'S4': 'no_intervention', 'S5': 'no_intervention'}"
13,1.227790000000206,0.6,0.9571,"{'S0': 'intervene', 'S1': 'no_intervention', 'S2': 'no_intervention', 'S3': 'no_intervention', 'S4': 'intervene', 'S5': 'no_intervention'}"
14,1.04746000000018,1.1,0.9697,"{'S0': 'intervene', 'S1': 'no_intervention', 'S2': 'no_intervention', 'S3': 'intervene', 'S4': 'no_intervention', 'S5': 'no_intervention'}"
15,1.529220000000217,0.30000000000000004,0.9506,"{'S0': 'intervene', 'S1': 'no_intervention', 'S2': 'intervene', 'S3': 'no_intervention', 'S4': 'no_intervention', 'S5': 'no_intervention'}"
16,1.0328800000001632,0.8,0.9631,"{'S0': 'intervene', 'S1': 'no_intervention', 'S2': 'intervene', 'S3': 'no_intervention', 'S4': 'intervene', 'S5': 'no_intervention'}"
17,0.9247700000001269,1.3,0.9716,"{'S0': 'intervene', 'S1': 'no_intervention', 'S2': 'intervene', 'S3': 'intervene', 'S4': 'no_intervention', 'S5': 'no_intervention'}"
18,0.6589700000000874,0.6,0.9835,"{'S0': 'intervene', 'S1': 'intervene', 'S2': 'no_intervention', 'S3': 'no_intervention', 'S4': 'no_intervention', 'S5': 'no_intervention'}"
19,0.4687199999999813,1.1,0.9884,"{'S0': 'intervene', 'S1': 'intervene', 'S2': 'no_intervention', 'S3': 'no_intervention', 'S4': 'intervene', 'S5': 'no_intervention'}"
20,0.5836200000000566,0.8,0.9855,"{'S0': 'intervene', 'S1': 'intervene', 'S2': 'intervene', 'S3': 'no_intervention', 'S4': 'no_intervention', 'S5': 'no_intervention'}"
21,0.4542699999999663,1.3,0.9884,"{'S0': 'intervene', 'S1': 'intervene', 'S2': 'intervene', 'S3': 'no_intervention', 'S4': 'intervene', 'S5': 'no_intervention'}"
